category,subcategory,url,name,offer_price,oldPrice,image-src,items_sold,location
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Anak-Bayi-Laki-laki-Cowok-Bahan-Kanvas-Motif-Boot-Centang-i.5798185.6849923265","Sepatu Anak Bayi Laki - laki / Cowok Bahan Kanvas Motif Boot Centang","Rp39.900","Rp90.000","https://cf.shopee.co.id/file/80ceb45350e3439331a75d41ee81a995_tn","178 Terjual","KOTA JAKARTA SELATAN"
"Fashion Bayi & Anak","Sepatu Bayi","/SEPATU-BAYI-PITA-MURAH-i.218625235.3830562012","SEPATU BAYI PITA MURAH","Rp11.000","","https://cf.shopee.co.id/file/acb93358db0e9614c03d9f45f27ccd5c_tn","233 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Prewalker-Sol-Halus-Aksen-Bunga-untuk-Bayi-Perempuan-i.13484023.3112724207","Sepatu Prewalker Sol Halus Aksen Bunga untuk Bayi Perempuan","Rp50.126","Rp85.200","https://cf.shopee.co.id/file/f3f331a72123a2ddc7a69aa56af20c71_tn","1,6RB Terjual","Luar Negeri"
"Fashion Bayi & Anak","Sepatu Bayi","/LKS589-Sepatu-Bayi-Anak-Baby-PreWalker-Shoes-i.182900182.6820501901","LKS589 Sepatu Bayi Anak / Baby PreWalker ShoesGrosir","Rp49.000","","https://cf.shopee.co.id/file/4df032d9fd22704ecc879a1407ce8347_tn","229 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/☀INDOLAND☀-R130-Kaos-Kaki-Korea-Motif-Lucu-Bayi-Anti-Slip-Socks-Cute-Sepatu-Anak-Karakter-Prewalker-i.36604406.2833160000","☀INDOLAND☀ R130 Kaos Kaki Korea Motif Lucu Bayi Anti Slip Socks Cute Sepatu Anak Karakter Prewalker","Rp15.800","","https://cf.shopee.co.id/file/79231f18635fb7578a66adfd5aca73fd_tn","4,8RB Terjual","KOTA BATAM"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-bayi-prewalker-kaos-kaki-anak-import-KOREA-SB-1801-i.203373203.5433708800","Sepatu bayi prewalker kaos kaki anak import KOREA SB-1801","Rp16.500","","https://cf.shopee.co.id/file/a8ed6bde3ef878fe26289e49946b0c30_tn","269 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/Ykn-kaos-kaki-bayi-sepatu-anti-slip-untuk-prewalker-i.9989636.2104503682","Ykn/ kaos kaki bayi sepatu anti slip untuk prewalker","Rp11.900 - Rp21.900","","https://cf.shopee.co.id/file/1195a1b6f3a0dd8ea97e1371c2cfc7bb_tn","2RB Terjual","KAB. BEKASI"
"Fashion Bayi & Anak","Sepatu Bayi","/Meta-3-Pcs-lot-Bayi-Kaus-Kaki-Bayi-Kapas-Renda-Bunga-Kaus-Kaki-Bayi-Perempuan-Kaos-kaki-Bayi-i.68719725.2888887997","Meta 3 Pcs/lot Bayi Kaus Kaki Bayi Kapas Renda Bunga / Kaus Kaki Bayi Perempuan / Kaos kaki Bayi","Rp29.800","","https://cf.shopee.co.id/file/9baba532c99b80db3bbeb273f52a60f8_tn","370 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Bayi-Prewalker-Bayi-Lucu-Murah-Berkualitas-Merek-Chedi-i.27459842.1050183296","Sepatu Bayi/ Prewalker Bayi Lucu, Murah, Berkualitas, Merek Chedi","Rp17.500","Rp20.000","https://cf.shopee.co.id/file/ce5fa20bed440894fb63738f0715ad6d_tn","2,6RB Terjual","KOTA BANDUNG"
"Fashion Bayi & Anak","Sepatu Bayi","/Kaos-kaki-karakter-bayi-sepatu-prewalker-baby-import-i.3290329.2151394355","Kaos kaki karakter bayi sepatu prewalker baby importGrosir","Rp14.500","Rp25.000","https://cf.shopee.co.id/file/92621cb02f75943cec745f8b41198e3d_tn","2,5RB Terjual","KAB. TANGERANG"
